feature,importance_mean,importance_std
feature_8,0.08287192129041683,0.0023322603643279914
feature_3,0.06965764981314944,0.0013094271558272547
feature_2,0.04946144583350907,0.0029590329395160807
feature_0,0.03480919092976538,0.003455034507479415
feature_9,0.027164754893852283,0.0011261034811050686
feature_5,0.019188594466205088,0.0031111200472805287
feature_4,0.018916933229701293,0.001069598678990472
feature_10,0.008028487463558354,0.001677799398803426
feature_6,0.004190707638836022,0.0012347551767144835
feature_13,0.0022139174346241576,0.0008090487932503251
feature_12,0.0019277853459710448,0.0007007519020742485
feature_11,0.001541796490611702,0.0007888110104533887
feature_7,0.00032026821421209383,0.0003530308689519293
feature_1,0.00024841737020631083,0.0008238649090633955
