group,attribute,fpr,fnr,precision,recall,support
Amer-Indian-Eskimo,race,0.011627906976744186,0.3125,0.9166666666666666,0.6875,102
Asian-Pac-Islander,race,0.12,0.2911392405063291,0.6746987951807228,0.7088607594936709,304
Black,race,0.016414141414141416,0.5043478260869565,0.8142857142857143,0.4956521739130435,907
Other,race,0.0,0.4444444444444444,1.0,0.5555555555555556,81
White,race,0.06334986402175652,0.330028328611898,0.7818181818181819,0.669971671388102,8369
