variant,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,pr_auc,brier_score
full,0.8744238451295708,0.8017701916072558,0.839204453820211,0.8017701916072558,0.8178491777596704,0.8701437740987078,0.8744238451295708,0.870763804160226,0.9302208837076961,0.8358587918504108,0.08681945483523208
no_sensitive,0.8528116357676944,0.7642510078906053,0.8096941659356444,0.7642510078906053,0.7826103206333408,0.8462223503830063,0.8528116357676944,0.8470037043245314,0.9055096002999096,0.7689900335558306,0.10188975571970449
