model,f1_macro_cv
logistic_regression,0.7798178179466151
decision_tree,0.7870796229883278
random_forest,0.7932449270321673
hist_gradient_boosting,0.8138957670828073
xgboost,0.8140414626338146
lightgbm,0.8145493627856304
